*********** Information: Data ***************

Data object,Tasks
NO_TASK,0
Task_SWP_FG1_EventManager,1
Task_ASW_FG1_100ms,2
Task_ASW_FG1_10ms,3
Task_ASW_FG1_1s,4
Task_ASW_FG1_20ms,5
Task_ASW_FG1_40ms,6
Task_ASW_FG1_5ms,7
Task_ASW_FG1_80ms,8
Task_ASW_FG1_ATBS,9
Task_ASW_FG1_ATTP,A
Task_ASW_FG1_Crypto,B
Task_ASW_FG1_Crypto2,C
Task_ASW_FG1_Prng,D
Task_ASW_FG1_RF_Sched2,E
Task_ASW_FG2_RF_Sched1,F
Task_ASW_FG2_RF_Terminate,10
Task_SWP_BG_RamRomCheck,11
Task_SWP_FG1_100ms,12
Task_SWP_FG1_10ms,13
Task_SWP_FG1_1s,14
Task_SWP_FG1_20ms,15
Task_SWP_FG1_5ms,16
Task_SWP_FG1_biomanag,17
Task_SWP_FG1_Watchdog_Mngr,18
Task_SWP_FG2_biomanag,19
Task_SWP_FG2_LPM,1A
Task_SWP_Init,1B
Task_SWP_System_Idle,1C

Data object,ISRs2
NO_ISR,0
SYSTEM_TIMER,1
Isr_IRQ,3
Isr_INTTIMCH0,5
Isr_INTTIMCH1,6
Isr_INTTIMCH2,7
Isr_INTTIMCH3,8
Isr_INTTIMCH4,9
Isr_INTTIMCH5,A
Isr_INTTIMCH6,B
Isr_INTTIMCH7,C
Isr_INTTIMOVF,D
Isr_INTPACCAOVF,E
Isr_INTPACCIN,F
Isr_INTSPI0,10
Isr_INTSCI0,11
Isr_INTSCI1,12
Isr_INTATD0,13
Isr_INTATD1,14
Isr_KWIPJ,15
Isr_KWIPH,16
Isr_INTPACCBOVF,17
Isr_INTCRGLOCK,18
Isr_INTSCME,19
Isr_INTI2C0,1A
Isr_INTSPI1,1B
Isr_INTSPI2,1C
Isr_INTEEPROM_FLASHFAULT,1D
Isr_INTFLASH,1E
Isr_INTC1WUP,23
Isr_INTC1ERR,24
Isr_INTC1RX,25
Isr_INTC1TX,26
Isr_INTC2WUP,27
Isr_INTC2ERR,28
Isr_INTC2RX,29
Isr_INTC2TX,2A
Isr_INTC3WUP,2B
Isr_INTC3ERR,2C
Isr_INTC3RX,2D
Isr_INTC3TX,2E
Isr_INTC4WUP,2F
Isr_INTC4ERR,30
Isr_INTC4RX,31
Isr_INTC4TX,32
Isr_KWIPP,33
Isr_INTPWMES,34
Isr_INTSCI2,35
Isr_INTSCI3,36
Isr_INTSCI4,37
Isr_INTSCI5,38
Isr_INTI2C1,39
Isr_LVI,3A
Isr_API,3B
Isr_INTPIT0,3C
Isr_INTPIT1,3D
Isr_INTPIT2,3E
Isr_INTPIT3,3F
Isr_INTXGATE0,40
Isr_INTXGATE1,41
Isr_INTXGATE2,42
Isr_INTXGATE3,43
Isr_INTXGATE4,44
Isr_INTXGATE5,45
Isr_INTXGATE6,46
Isr_INTXGATE7,47
Isr_INTXGATESWERR,48
Isr_INTXSRAM,49
Isr_INTSPUR,4A
Isr_INTSCI6,4B
Isr_INTHIGHTEMP,4C
Isr_INTPIT4,4D
Isr_INTPIT5,4E
Isr_INTPIT6,4F
Isr_INTPIT7,50
Isr_INTSCI7,51
Isr_INTTIMTIM0,52
Isr_INTTIMTIM1,53
Isr_INTTIMTIM2,54
Isr_INTTIMTIM3,55
Isr_INTTIMTIM4,56
Isr_INTTIMTIM5,57
Isr_INTTIMTIM6,58
Isr_INTTIMTIM7,59
Isr_INTTIMTIMOVF,5A
Isr_INTTIMTIMPAOV,5B
Isr_INTTIMTIMPAIE,5C
Isr_INTACMPIE0,5D
Isr_INTACMPIE1,5E
Isr_INTMPUERR,5F
Isr_INTSYSCALL,60
